"#dataset-key","rights"
55ddd17f-b599-4d00-aaa9-0fa8c4d6a9ef,not supplied
b526e9eb-783d-4122-b7be-e3707063bedb,not supplied
e988e9c5-7f3f-4700-8985-c5017eb5cab1,not supplied
b618aa60-df4a-4ddd-89ee-1d03af983d78,not supplied
373ebac3-3363-4266-a418-e3691da00272,not supplied
e1eb8c8e-9c67-4267-b815-07ee777a08f8,not supplied
cec63769-c2a4-4c48-bcfd-b75d7c96a004,not supplied
04def3c5-1bb5-4d3e-b89a-959d1e72670f,not supplied
081cab66-9c26-4bca-bffa-d371d5b73505,not supplied
d6cef895-b294-40a7-a5a8-ab7de8d883c7,not supplied
62843b75-0c13-4d8d-9804-c803cdafaf26,not supplied
8c8979f5-9dbf-41d6-b531-0468dbc91106,not supplied
ab631127-67f6-4d7f-aa2e-8d66f6d48556,not supplied
ad879d97-6bee-4691-9aad-eb04a4fbc6df,not supplied
61075708-3a5d-466c-8993-0bc80a4ef2df,not supplied
9a5a8d00-d089-4cf8-ab29-0cfbe5f33bec,not supplied
7c98433a-2769-45f6-9769-88173f0d193a,not supplied
70dae91c-ecf8-4790-a6d6-4889a88d1c1f,not supplied
64cd76db-9879-46ab-955b-0bc64a769978,not supplied
076b154f-2815-4966-842b-270438dbc209,not supplied
5648a539-55c4-4f7d-b858-a6971df9a7f3,not supplied
b7dbce69-0de2-4e80-81d8-0783dfc6f126,not supplied
d5230299-ed41-46d4-a6ee-6d431d2d157b,not supplied
75e787b4-14c4-4040-9bd8-477d343e3a91,not supplied
8ea44a78-c6af-11e2-9b88-00145eb45e9a,not supplied
e242f598-69f3-4dbf-b4f6-d2a1c5f6986b,not supplied
d8774f09-ebd8-451c-b133-41e4500981d9,This IHSM pelagicdiversity database is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/
55d3f041-5cd7-45cf-99e0-80cddfd035d7,"El Herbario CDMB- Jardín Botánico se encuentra a cargo de una entidad pública, Corporación de Defensa de la Meseta de Bucaramanga CDMB, por lo tanto toda la información contenida en las colecciones biológicas de Herbario, plantas vivas y colección de Insectos, puede ser consultada por toda la comunidad dando los créditos correspondientes a la entidad."
09bbd7cb-afe7-4c98-a2a9-1f1081a82d19,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
bec73359-a65f-4402-9692-f498ef0e71cb,not supplied
58d0f326-2e85-4d0a-a744-571461220f00,"UCMP data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the UCMP director or designate. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the UCMP notified. The University of California Museum of Paleontology and its staff are not responsible for damages, injury or loss due to the use of these data."
40e9743f-8db3-4732-8c85-c4ca96596409,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms
a2e308bf-e9ec-4651-906e-956c963df0ca,not supplied
66bd3ed0-4fed-442c-ac0b-17c860583d43,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
8729d481-6cf8-4f36-b701-bd423bbd1d9f,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
882d7a23-109d-4969-b0e4-d97286cf4fb6,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
3ad882bb-cd21-4201-8b83-3684bfc6d830,"University of British Columbia Beaty Biodiversity Museum data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the University of British Columbia Beaty Biodiversity Museum. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the University of British Columbia Beaty Biodiversity Museum notified. The University of British Columbia Beaty Biodiversity Museum and its staff are not responsible for damages, injury or loss due to the use of these data."
df9c8b86-9d36-4e29-91b3-4274dff053e5,"University of British Columbia Beaty Biodiversity Museum data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the University of British Columbia Beaty Biodiversity Museum. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the University of British Columbia Beaty Biodiversity Museum notified. The University of British Columbia Beaty Biodiversity Museum and its staff are not responsible for damages, injury or loss due to the use of these data."
fa775828-b7e9-11e2-9aa5-00145eb45e9a,The photographs are copyrighted by the institutions which hold the specimens
6454fdd4-b62f-11e2-afcb-00145eb45e9a,"© IBF project, DiversityMobile"
63035610-b62f-11e2-afcb-00145eb45e9a,"© IBF project, DiversityMobile"
61a9ca38-b62f-11e2-afcb-00145eb45e9a,Staatliches Museum für Naturkunde Karlsruhe
5e6ae014-b62f-11e2-afcb-00145eb45e9a,© Botanische Staatssammlung München
76dd8f0d-2daa-4a69-9fcd-55e04230334a,"Carnegie Museum of Natural History (CM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CM notified. The CM and its staff are not responsible for damages, injury or loss due to the use of these data."
a82d2421-be5a-4779-babc-da0b634a7ba8,"Carnegie Museum of Natural History (CM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CM notified. The CM and its staff are not responsible for damages, injury or loss due to the use of these data."
8a5459ee-3d3a-4e0a-9fb0-0cbbb9e5a6f9,"The Schmidt Museum of Natural History at Emporia State University (KSTC) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the KSTC. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the KSTC notified. The KSTC and its staff are not responsible for damages, injury or loss due to the use of these data."
c9076cd3-349f-4068-a5c7-bc34449c3916,"The data and media available through Arctos are the property of the originating institution, with all rights reserved. These records are intended for use in education and research and may not be repackaged, redistributed, or sold in any form without prior written consent from the collection(s) holding such data. Users wishing to include Arctos data or media in publications, reports, websites, or other means of dissemination must acknowledge the provenance of the original data, cite the institutional catalog number(s), and notify the appropriate curator. The date that information was accessed should be cited when downloaded data are used in published analyses. These are secondary data and their accuracy is not guaranteed. Citation of Arctos is no substitute for examination of specimens. The data providers are not responsible for loss or damages due to use of these data. http://arctosdb.org/home/data/ </br></br>"
37fde48b-4732-4b93-8987-20a0b0dd01e4,not supplied
b99095f3-d1e9-4902-9938-10ff1711ca5d,"CUMV data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CUMV. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CUMV notified. The Cornel University Museum of Vertebrates and its staff are not responsible for damages, injury, or loss due to the use of these data."
