key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
dbfacc33-350a-4620-976f-4d3a441aa242,a665e604-14e4-4aba-b93d-53755968eb14,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
cce1c58a-880b-4b93-acc7-98c9b85900cd,a665e604-14e4-4aba-b93d-53755968eb14,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
c690c2b5-8002-4d12-831c-9258dd618f78,9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862,7019,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access.",false,true,false,false,false,false,?,false
231c5bcf-1b56-4905-a398-6d0e18f6de1a,9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862,61097,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access.",false,true,false,false,false,false,?,false
c2139479-1a23-4050-94fe-ee2424a88fdf,c0252e99-c6d0-449e-8106-508be14c34fa,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
d922f0cd-fae6-4600-8daa-2b41bb4f76ad,c0252e99-c6d0-449e-8106-508be14c34fa,0,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
8eddc200-f535-4c65-9b4d-f723eafe607e,f56c5f80-055c-11d8-b84e-b8a03c50a862,63426,"PSM data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the PSM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the PSM notified. The James R. Slater Museum of Natural History or its staff is not responsible for damages, injury or loss due to the use of these data.",false,true,false,false,?,true,?,true
9c45867f-f77d-42f3-9751-ae16bb7c9bc8,b542788f-0dc2-4a2b-b652-fceced449591,4764,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms,true,true,true,true,true,false,false,false
7329dbf2-8c75-41be-a3a0-0cd0a368eb26,a2f1c6f5-88de-4fc5-891a-336259f32f4e,4347,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
fabf30b1-75fe-44fe-b386-3c7ea2d94f10,a2f1c6f5-88de-4fc5-891a-336259f32f4e,439,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode,true,true,true,true,true,false,false,false
